Estagio;Formação vegetal;Parcela;Linha;Sub transecto;Diametr;Perimetr;direcao;grau decomp;Bambu;[2-5 cm];[5-10 cm];Tipo de planta;podridao;comprimento;pto inter ceptação;topografia;Observação;Árvore  próxima;dia;mes;ano;altura;sequencia;perimetro na base;perimetro no extremo distal
Restoration;semidecidua;3B;18;3;11;34.55751919;210;5;;;;arv;mista;;;vale;mesma arv;;8;3;2017;455;3256;;
Restoration;semidecidua;1A;38;1;;;;;;;;;;;;vale;;;21;3;2016;455;2396;;
Restoration;semidecidua;1A;38;2;;;;;;5;;arv(galho);;;;vale;de arv;;21;3;2016;455;2397;;
Restoration;semidecidua;1A;38;3;;;;;;;;;;;;vale;;;21;3;2016;455;2398;;
Restoration;semidecidua;1A;46;1;;;;;;;;;;;;vale;;;21;3;2016;455;2399;;
Restoration;semidecidua;1A;46;2;;;;;;6;;arv(galho);;;;vale;de arv;;21;3;2016;455;2400;;
Restoration;semidecidua;1A;46;3;;;;;;;;;;;;vale;;;21;3;2016;455;2401;;
Restoration;semidecidua;1B;22;1;;;;;;;;;;;;vale;;;21;3;2016;455;2402;;
Restoration;semidecidua;1B;22;2;;;;;;2;;arv(galho);;;;vale;de arv;;21;3;2016;455;2403;;
Restoration;semidecidua;1B;22;3;;;;;;;;;;;;vale;;;21;3;2016;455;2404;;
Restoration;semidecidua;1B;30;1;;;;;;;;;;;;vale;;;21;3;2016;455;2405;;
Restoration;semidecidua;1B;30;2;;;;;;3;;arv(galho);;;;vale;de arv;;21;3;2016;455;2406;;
Restoration;semidecidua;1B;30;3;;;;;;;;;;;;vale;;;21;3;2016;455;2407;;
Restoration;semidecidua;1C;22;1;;;;;;;;;;;;vale;;;21;3;2016;455;2408;;
Restoration;semidecidua;1C;22;2;;;;;;4;;arv(galho);;;;vale;de arv;;21;3;2016;455;2409;;
Restoration;semidecidua;1C;22;3;;;;;;;;;;;;vale;;;21;3;2016;455;2410;;
Restoration;semidecidua;1C;30;1;;;;;;;;;;;;vale;;;21;3;2016;455;2411;;
Restoration;semidecidua;1C;30;2;;;;;;2;;arv(galho);;;;vale;de arv;;21;3;2016;455;2412;;
Restoration;semidecidua;1C;30;3;;;;;;;;;;;;vale;;;21;3;2016;455;2413;;
Restoration;semidecidua;1D;6;1;;;;;;;;;;;;vale;;;21;3;2016;455;2414;;
Restoration;semidecidua;1D;6;2;;37.5;70;3;;;;arv;NA;;;vale; ind 167;;21;3;2016;455;2415;;
Restoration;semidecidua;1D;6;2;;35.5;80;3;;;;arv;NA;;;vale; ind 167;;21;3;2016;455;2416;;
Restoration;semidecidua;1D;6;2;;;;;;7;;arv(galho);;;;vale;de arv;;21;3;2016;455;2417;;
Restoration;semidecidua;1D;6;3;;;;;;;;;;;;vale;;;21;3;2016;455;2418;;
Restoration;semidecidua;1D;14;1;;;;;;;;;;;;vale;;;21;3;2016;455;2419;;
Restoration;semidecidua;1D;14;2;;;;;;3;1;arv(galho);;;;vale;de arv;;21;3;2016;455;2420;;
Restoration;semidecidua;1D;14;3;;;;;;;;;;;;vale;;;21;3;2016;455;2421;;
Restoration;semidecidua;2A;38;1;;;;;;;;;;;;vale;;;21;3;2016;455;2422;;
Restoration;semidecidua;2A;38;2;;;;;;0;;;;;;vale;;;21;3;2016;455;2423;;
Restoration;semidecidua;2A;38;3;;;;;;;;;;;;vale;;;21;3;2016;455;2424;;
Restoration;semidecidua;2A;46;1;;;;;;;;;;;;vale;;;21;3;2016;455;2425;;
Restoration;semidecidua;2A;46;2;;;;;;0;;;;;;vale;;;21;3;2016;455;2426;;
Restoration;semidecidua;2A;46;3;;;;;;;;;;;;vale;;;21;3;2016;455;2427;;
Restoration;semidecidua;2B;22;1;;;;;;;;;;;;vale;;;21;3;2016;455;2428;;
Restoration;semidecidua;2B;22;2;;;;;;6;;arv(galho);;;;vale;de arv;;21;3;2016;455;2429;;
Restoration;semidecidua;2B;22;3;;;;;;;;;;;;vale;;;21;3;2016;455;2430;;
Restoration;semidecidua;2B;30;1;;;;;;;;;;;;vale;;;21;3;2016;455;2431;;
